Phòng Kiểm định xe cơ giới (VAR) 1000V – Cục Đăng kiểm Việt Nam; 35/10 - 35/12 Đường D5, P25, Q.Bình Thạnh, TP HCM
Trung Tâm đăng kiểm xe cơ giới 1101S - Cao Bằng; Km4 - P. Sông Hiến - TP. Cao Bằng
Trung tâm đăng kiểm xe cơ giới 1102D - Cao Bằng trực thuộc công ty TNHH đăng kiểm Cao Bằng; Tổ 8, phường Ngọc Xuân, TP. Cao Bằng
Trung tâm đăng kiểm xe cơ giới 1201D, trực thuộc công ty cổ phần đăng kiểm xe cơ giới  Lạng Sơn; 50 Lê Đại Hành - Phường Vĩnh Trại - Lạng Sơn
Trung tâm đăng kiểm xe cơ giới 1202D, trực thuộc công ty cổ phần đăng kiểm xe cơ giới  Lạng Sơn;  tổ 5, khối 1+2, thị trấn Cao Lộc, huyện Cao Lộc, tỉnh Lạng Sơn
Trung Tâm đăng kiểm xe cơ giới Hạ Long 1401D - Quảng Ninh; Phường Hà Phong - Thành phố Hạ Long - Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Uông Bí 1402D - Quảng Ninh; Phường Thanh Sơn - T.p Uông Bí - Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1403D - Quảng Ninh; Km 9, xã Hải Đông – T.p Móng Cái - Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1404D - Quảng Ninh; Tổ 5, khu 11, Phường Mông Dương, Tp. Cẩm Phả, tỉnh Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1405D - Quảng Ninh; Ô đất số 9,10,34 và 35, lô ĐNN_D thuộc Cụm Công nghiệp Hà Khánh, Tp. Hạ Long, tỉnh Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1406D - Quảng Ninh; Khu CN Cái Lân, phường Giếng Đáy, Tp. Hạ Long, tỉnh Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới Móng Cái 1407D - Quảng Ninh; Tổ 1, khu 4, P. Quang Hanh, Tp. Cẩm Phả, tỉnh Quảng Ninh
Trung Tâm đăng kiểm xe cơ giới 1501V - Hải Phòng; Km 90 QL 5 mới, Khu Cam Lộ 2, Hồng Bàng, Hải Phòng
